,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8
NAF_perineurial,0.0,0.03309902469361368,0.5223209079379545,0.011558455471823345,0.05303492940820077,0.0,0.023595083688777094,0.08145112060136078,0.2749404781982699
NK_CD16hi,0.13242300400660925,0.25469062719815605,0.04518252940645203,0.048672239297680164,0.26031890176975037,0.06228941740480852,0.12611727610762807,0.041847006557541526,0.02845899825137401
NKT,0.17248866592629328,0.2316764277094393,0.03348886823134062,0.011503330672596469,0.31011611154763796,0.018220829654698102,0.06914874471676448,0.12864290946863044,0.02471411207259931
NK_CD11d,0.11274095962471063,0.225759909438057,0.03945879164879858,0.09271744424396221,0.22763718766472069,0.11455637435913289,0.13363776978246658,0.029344848023263995,0.024146715214887468
NK_CD56bright,0.11911595750042057,0.20670911296283748,0.032117094524839206,0.13530376443967368,0.22673819666615552,0.16369529581403044,0.07506415447795511,0.019726792367082982,0.021529631247004976
Neuroendocrine,0.05747150877830541,0.028041659603987436,0.21171560584625987,0.0713744479910182,0.077446620891182,0.15141901341071584,0.3339921805046736,0.0,0.06853896297385759
SMG_Basal,0.004641258500313044,0.0,0.16160184751213727,0.02748579611646699,0.030683257762637604,0.2655625089262833,0.4581729118517343,0.0,0.0518524193304275
SMG_Duct,0.0,0.0,0.01989956019235532,0.0,0.0,0.021814656233127512,0.9252088918324725,0.030167043905745462,0.0029098478362991295
SMG_Mucous,0.00117392622714711,0.003617385589503572,0.0,0.0930398842862794,0.0,0.35996208674713015,0.528431394359784,0.013775322790155678,0.0
SMG_Serous,0.0,0.0003613044171273119,0.018796063641412966,0.0,0.0,0.0,0.9772702474134263,0.0,0.0035723845280334963
Schwann_Myelinating,0.0,0.024422786403254515,0.25103296857837154,0.015074691933829557,0.019640107273720987,0.004309337929655313,0.593781236111823,0.0,0.09173887176934503
Schwann_nonmyelinating,0.0,0.022208640984528478,0.5134832291025924,0.0012896264828048,0.03556993465723388,0.0,0.07458014558992512,0.1514182358370794,0.20145018734583603
Secretory_Club,0.12933860829771254,0.04382781334383416,0.1175977191649574,0.4679837626905432,0.0023520971230148015,0.08736025832678118,0.11278409490813077,0.0,0.038755646145025836
Secretory_Goblet,0.0,0.0,0.0009506318279513176,0.20867146146519824,0.0,0.7903779067068504,0.0,0.0,0.0
Suprabasal,0.0,0.0,0.0035362056572248598,0.1079688481614205,0.0,0.8830185282123768,0.0,0.0,0.005476417968977761
T_reg,0.14898314537084317,0.22245358139872345,0.05653469516590264,0.06272450078400336,0.281061295721583,0.08087509250733381,0.05132709079997546,0.05971738857893981,0.036323209672695415
gdT,0.14726953507541943,0.20865325802920395,0.06649381631358893,0.034758083071248204,0.27062968292515027,0.04604349074982526,0.09382840403745989,0.08839615887223934,0.043927570925864905
