,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
Muscle_perivascular_immune_recruiting,0.0,0.034365458026342506,0.061338977210345286,0.06292152650573617,0.0,0.14878945786891618,0.02205061127313296,0.1692899264539376,0.38887130140561205,0.009950709268185398,0.08517518654113536,0.01724684544665644
Muscle_smooth_pulmonary,0.0,0.005032411988420097,0.4494830063232898,0.0,0.0,0.0,0.0,0.0,0.01792974300785999,9.579881328182425e-06,0.5248837894062905,0.0026614693928114735
Muscle_smooth_syst_arterial,0.00145070352795,0.0001554237039951927,0.24994123289358536,0.0,1.1023268170841406e-06,0.014359611174349387,0.0,0.030563932155141738,0.0,5.351840341149173e-06,0.7032768473081181,0.0002457950697018957
Myoepithelial,0.01347956400612207,0.008698771776329864,0.05915586424038172,0.018336208118973678,0.06033181119618164,0.305085018259731,0.0,0.5055402217424757,0.0,0.0015416078716506034,0.02170125589331664,0.006129676894836961
NAF_endoneurial,0.016117376132040628,0.049930000873381515,0.45044418931048574,0.07353168421912908,0.0024365531282105617,0.04687614007197547,0.0024684449968396505,0.10689132000224125,0.04620131389486183,0.007477940855441406,0.19544845834327945,0.0021765781721134296
NAF_perineurial,0.010997855558854134,0.028745138262989432,0.5004083666709839,0.0826176361102089,0.0,0.0,0.002479437998405396,0.03165171784291158,0.07914831798692823,0.002126316914068314,0.26182521265465014,0.0
NK_CD16hi,0.03860184815058039,0.17860362906454985,0.036238493658222834,0.1543193475603847,0.04988796949122861,0.06735725080587403,0.09188193427444762,0.06892615387696803,0.03097889021715136,0.0931841837099277,0.022016817477796814,0.16800348171286808
NKT,0.009070583623193707,0.2207021441603554,0.02715272800379434,0.12870351335386757,0.014399541463793778,0.03678949532325002,0.11715286417568065,0.036866500630663046,0.1008921191951568,0.11906118757927456,0.01938814242133201,0.169821180069638
NK_CD11d,0.07499985709341409,0.15926789261721314,0.03219716271927675,0.13853355318562066,0.09394343248755328,0.07082607679756059,0.08026307907853522,0.07694790253808159,0.021737041289707913,0.08047891234420025,0.01897816100589441,0.1518269288429422
NK_CD56bright,0.11222655669497647,0.16566420265309095,0.026847703189078292,0.12492892910627645,0.1378011260467142,0.03757556296462241,0.08121335227110447,0.04713473106196643,0.014671589696116545,0.08650306640976317,0.01737890327598203,0.14805427663030854
Neuroendocrine,0.059664496892832396,0.0619197730372295,0.1825876692077207,0.025103561830001838,0.1331665319367707,0.14750396112288916,0.0176025699814876,0.24504816179718292,0.0,0.04476627135706632,0.05850233149572218,0.024134671341096734
SMG_Basal,0.027998586645621028,0.027365886185830593,0.13920565838435578,0.0040085177576884195,0.1998058467715748,0.5565376465182429,0.0,0.0,0.0,0.0027758091665280324,0.042302048570158485,0.0
SMG_Duct,0.0,0.0,0.019333417716440524,4.842077814477764e-05,0.0,0.7997947578105401,0.0,0.1766590926507563,0.0,0.0,0.0041643110441183405,0.0
SMG_Mucous,0.07989018216086786,0.0,0.0,0.0,0.28883144624504026,0.44049850283437897,0.02455479727996357,0.16622507147974924,0.0,0.0,0.0,0.0
SMG_Serous,0.0,0.0,0.012026649972914038,7.89434409612452e-05,0.0013425498189010693,0.0,0.0,0.9843222187715794,0.0,0.0001752803212012587,0.0012705573848375618,0.0007838002896053096
Schwann_Myelinating,0.009486124067345614,0.0,0.2003289676255283,0.055029092708913596,0.010897296638926057,0.21169684586333837,0.00355890186914088,0.43665587417392826,0.0,0.0,0.07234689705287883,0.0
Schwann_nonmyelinating,0.0011954524396984932,0.0,0.4791313745506377,0.07582022521517547,0.0,0.01855312253133432,0.020023349214075545,0.07586367687656599,0.143035855385489,0.0,0.18637694378702344,0.0
Secretory_Club,0.43480875094362104,0.009959271931069748,0.11043250263342201,0.0,0.07888592400843134,0.09342256252730188,0.017837765981411464,0.050714333706517574,0.0,0.10074910764158729,0.03623743780559016,0.06695234282104749
Secretory_Goblet,0.2046208295259885,0.0,0.0002376097996892974,0.0,0.788879293234918,0.006262267439404119,0.0,0.0,0.0,0.0,0.0,0.0
Suprabasal,0.10451499867414885,0.0,0.0036428766802771425,0.0,0.8862035806402793,0.0,0.0,0.0,0.0,0.0,0.005638544005294883,0.0
T_reg,0.051206152202026796,0.2056209952975589,0.04681348803127241,0.13049902750820902,0.06699525655673333,0.02519086518507405,0.09730860431894098,0.03090137020518798,0.04720997810988004,0.10593572786766604,0.029404977435944498,0.16291355728150608
gdT,0.028057023839261598,0.19631744249182248,0.0547044199193154,0.11999742195587089,0.03767039869880556,0.049184778862647854,0.09744173535284785,0.053878148114883846,0.07010860937438176,0.10364340155249413,0.03548229019131644,0.15351432964635214
