,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
Macro_dividing,0.0075393042967349,0.3017381225078899,0.09042735320111725,0.10397151597323372,0.01350053379358081,0.042066268619035674,0.0,0.20219069933878142,0.02026167182506122,0.09779572969547552,0.05691913626957683,0.06358966447951277
Macro_int,0.0,0.021777206097183293,0.0,0.0809116148573391,0.0,0.0,0.01833746853744248,0.5944917148847157,0.0,0.28448199562331933,0.0,0.0
Macro_CCL,0.04009864324030908,0.1337989429018055,0.1661328545033766,0.10736733828825291,0.03604754612251305,0.06239073943698269,0.0,0.17787160148685863,0.08964590690146215,0.16231575387072103,0.014120728750148621,0.010209944497570051
Mast_cell,0.10689019051325804,0.05058421023031453,0.0,0.15432568385480086,0.06320371614045016,0.13131336435789126,0.0,0.3247435788430224,0.0,0.0,0.13444749271440035,0.03449176334586241
Megakaryocyte,0.15214641481472252,0.11336005262545967,0.03589783648799927,0.02096312397271391,0.05621181724391776,0.16361756070627007,0.07247747540894284,0.0,0.1221477972304784,0.039646046875916996,0.15764201859546642,0.06588985603811222
Mesothelia,0.0,0.010170758627788906,0.227243580403272,0.08175944957733051,0.0,0.0,0.0640399235648806,0.3406494868743421,0.09545714165580658,0.1627217167413018,0.0,0.017957942555277478
Macrophage_intermediate,0.01496717461382229,0.08724180851686253,0.13045562385946108,0.11379097327081075,0.009405407356647718,0.045274022857450295,0.0,0.25108409255631503,0.10066018829423375,0.17209411371023667,0.03185284071653513,0.0431737542476247
Monocyte_CD14,0.011873815734383819,0.1188850295520516,0.0,0.22021123846198928,0.0,0.029079272168502108,0.0,0.513345834648324,0.001102085782920027,0.056595788987783814,0.027585767376939924,0.02132116728710558
Monocyte_CD16,0.026030574457933053,0.09131083071939256,0.0757714432333199,0.16289958110045974,0.018330249052417744,0.04896985089692753,0.0,0.3528841866255537,0.04811041248301689,0.11435657666373819,0.03230108083912524,0.029035213928115394
Muscle_airway,0.0027764187021820145,0.011751492870405136,0.0,0.0,0.0,0.003454810504298714,0.0,0.0,0.0,0.0,0.815364105997434,0.16665317192568
Muscle_pericyte_airway,0.0,0.008754459768456234,0.017457231969530668,0.43499562248866447,0.0,0.0,0.0,0.38476740217536287,0.0367983205726086,0.059832168164912686,0.014712611187696343,0.04268218367276817
Muscle_pericyte_parenchyma,0.005765735375472295,0.2833873747644055,0.10256014186525811,0.11914663514037331,0.0,0.018792187039684556,0.00888993424925395,0.04803626625152216,0.12566558881651832,0.08626849013991528,0.11873048790504459,0.08275715845255206
Muscle_perivascular_immune_recruiting,0.0,0.05834194533037272,0.0996906301042294,0.21408242128168947,0.0,0.0,0.0161866642617938,0.23988707053026,0.11832144688115656,0.142058079954042,0.046861939112512976,0.06456980254394314
Muscle_smooth_pulmonary,0.0,0.0,0.0,0.0043858848660087366,0.0,0.0,0.0,0.019153120169268647,0.0,0.0,0.4473085512755777,0.5291524436891449
Muscle_smooth_syst_arterial,0.002275122435021763,0.0,0.012723161170181572,0.0,0.0,0.0013610255170600416,0.0011109758002327238,0.0,0.029229326943176575,0.010948512087879426,0.25705528794889065,0.6852965880975572
Myoepithelial,0.0019846160995811734,0.029480443734987163,0.1718192277987345,0.0,0.0,0.01765617973576084,0.2994130426007494,0.0,0.39255690675338156,0.02942028728906604,0.04191231194930119,0.015756984038438417
NAF_endoneurial,0.008491495157608137,0.5969503122926464,0.028032061084265838,0.005653354396653744,0.0,0.009072407221798464,0.0,0.01570966014909758,0.05303196810921141,0.007632716506366172,0.2078577155058926,0.06756830957645944
NAF_perineurial,0.005638932896382399,0.575038720395606,0.0,0.05419701899219326,0.0,0.00317810113239386,0.0,0.015413663331079174,0.011774111637000649,0.0,0.23240284367425262,0.10235660794109207
NK_CD16hi,0.09558049767001797,0.09653953206851647,0.13474473680698204,0.06276079279871562,0.05231860336353374,0.08416604377297329,0.027345271507417956,0.04742415274023287,0.13849904565826604,0.12927051666484235,0.08135429452864787,0.04999651241985366
NKT,0.034804234293781725,0.10535811132568766,0.10481935845489189,0.1417031923235794,0.00462415645796598,0.0469317807950907,0.0,0.22766499364749465,0.09543517344182996,0.10604863891660217,0.07725691817727189,0.055353442165804026
NK_CD11d,0.14832782249701912,0.07357610078233327,0.11381209194092866,0.04532263227125051,0.10053791652079476,0.1153915682974393,0.04208357288824443,0.02435805101670638,0.12814956082298132,0.11271750126756634,0.05995621686045536,0.0357669648342804
